,phonemes,overlap / correlation
406,"['u', 'ʌ']",0.58
407,"['u', 'o']",0.79
408,"['u', 'æ']",0.08
409,"['u', 'ɔ']",0.55
410,"['u', 'y']",0.36
411,"['u', 'w']",0.79
412,"['u', 'ɛ']",0.06
413,"['u', 'r']",-0.11
414,"['u', 'l']",-0.3
415,"['u', 'p']",-0.44
416,"['u', 'b']",-0.38
417,"['u', 'f']",-0.34
418,"['u', 'v']",-0.31
419,"['u', 'm']",-0.34
420,"['u', 't']",-0.6
421,"['u', 'd']",-0.55
422,"['u', 'θ']",-0.55
423,"['u', 'ð']",-0.51
424,"['u', 'n']",-0.51
425,"['u', 's']",-0.51
426,"['u', 'z']",-0.5
427,"['u', 'c']",-0.55
428,"['u', 'č']",-0.13
429,"['u', 'ǰ']",-0.11
430,"['u', 'š']",-0.11
431,"['u', 'ž']",-0.09
432,"['u', 'k']",0.17
433,"['u', 'g']",0.17
434,"['u', 'x']",0.17
435,"['u', 'ŋ']",0.3
436,"['u', 'h']",-0.19
437,"['u', 'kʷ']",0.38
438,"['u', 'gʷ']",0.38
439,"['u', 'xʷ']",0.38
440,"['e', 'ʌ']",0.71
441,"['e', 'o']",0.51
442,"['e', 'æ']",0.71
443,"['e', 'ɔ']",0.36
444,"['e', 'y']",0.24
445,"['e', 'w']",-0.09
446,"['e', 'ɛ']",0.57
447,"['e', 'r']",0.33
448,"['e', 'l']",0.2
449,"['e', 'p']",-0.45
450,"['e', 'b']",-0.25
451,"['e', 'f']",-0.08
452,"['e', 'v']",0.06
453,"['e', 'm']",-0.08
454,"['e', 't']",-0.54
455,"['e', 'd']",-0.36
456,"['e', 'θ']",-0.36
457,"['e', 'ð']",-0.2
458,"['e', 'n']",-0.2
459,"['e', 's']",-0.2
460,"['e', 'z']",-0.06
461,"['e', 'c']",-0.36
462,"['e', 'č']",-0.36
463,"['e', 'ǰ']",-0.2
464,"['e', 'š']",-0.2
465,"['e', 'ž']",-0.06
466,"['e', 'k']",-0.46
467,"['e', 'g']",-0.29
468,"['e', 'x']",-0.29
469,"['e', 'ŋ']",-0.2
470,"['e', 'h']",-0.13
471,"['e', 'kʷ']",-0.55
472,"['e', 'gʷ']",-0.39
473,"['e', 'xʷ']",-0.39
474,"['ʌ', 'o']",0.76
475,"['ʌ', 'æ']",0.43
476,"['ʌ', 'ɔ']",0.58
477,"['ʌ', 'y']",0.05
478,"['ʌ', 'w']",0.24
479,"['ʌ', 'ɛ']",0.35
480,"['ʌ', 'r']",0.07
481,"['ʌ', 'l']",-0.07
482,"['ʌ', 'p']",-0.52
483,"['ʌ', 'b']",-0.36
484,"['ʌ', 'f']",-0.25
485,"['ʌ', 'v']",-0.16
486,"['ʌ', 'm']",-0.25
487,"['ʌ', 't']",-0.61
488,"['ʌ', 'd']",-0.49
489,"['ʌ', 'θ']",-0.49
490,"['ʌ', 'ð']",-0.38
491,"['ʌ', 'n']",-0.38
492,"['ʌ', 's']",-0.38
493,"['ʌ', 'z']",-0.3
494,"['ʌ', 'c']",-0.49
495,"['ʌ', 'č']",-0.49
496,"['ʌ', 'ǰ']",-0.38
497,"['ʌ', 'š']",-0.38
498,"['ʌ', 'ž']",-0.3
499,"['ʌ', 'k']",-0.04
500,"['ʌ', 'g']",0.05
501,"['ʌ', 'x']",0.05
502,"['ʌ', 'ŋ']",0.07
503,"['ʌ', 'h']",-0.24
504,"['ʌ', 'kʷ']",-0.18
505,"['ʌ', 'gʷ']",-0.08
506,"['ʌ', 'xʷ']",-0.08
507,"['o', 'æ']",0.24
508,"['o', 'ɔ']",0.79
509,"['o', 'y']",-0.09
510,"['o', 'w']",0.52
511,"['o', 'ɛ']",0.19
512,"['o', 'r']",0.08
513,"['o', 'l']",-0.08
514,"['o', 'p']",-0.34
515,"['o', 'b']",-0.25
516,"['o', 'f']",-0.18
517,"['o', 'v']",-0.13
518,"['o', 'm']",-0.18
519,"['o', 't']",-0.48
520,"['o', 'd']",-0.4
521,"['o', 'θ']",-0.4
522,"['o', 'ð']",-0.34
523,"['o', 'n']",-0.34
524,"['o', 's']",-0.34
525,"['o', 'z']",-0.29
526,"['o', 'c']",-0.4
527,"['o', 'č']",-0.4
528,"['o', 'ǰ']",-0.34
529,"['o', 'š']",-0.34
530,"['o', 'ž']",-0.29
531,"['o', 'k']",-0.16
532,"['o', 'g']",-0.1
533,"['o', 'x']",-0.1
534,"['o', 'ŋ']",0.08
535,"['o', 'h']",-0.08
536,"['o', 'kʷ']",0.11
537,"['o', 'gʷ']",0.16
538,"['o', 'xʷ']",0.16
539,"['æ', 'ɔ']",0.58
540,"['æ', 'y']",0.05
541,"['æ', 'w']",-0.28
542,"['æ', 'ɛ']",0.35
543,"['æ', 'r']",0.07
544,"['æ', 'l']",-0.07
545,"['æ', 'p']",-0.52
546,"['æ', 'b']",-0.36
547,"['æ', 'f']",-0.25
548,"['æ', 'v']",-0.16
549,"['æ', 'm']",-0.25
550,"['æ', 't']",-0.61
551,"['æ', 'd']",-0.49
552,"['æ', 'θ']",-0.49
553,"['æ', 'ð']",-0.38
554,"['æ', 'n']",-0.38
555,"['æ', 's']",-0.38
556,"['æ', 'z']",-0.3
557,"['æ', 'c']",-0.49
558,"['æ', 'č']",-0.49
559,"['æ', 'ǰ']",-0.38
560,"['æ', 'š']",-0.38
561,"['æ', 'ž']",-0.3
562,"['æ', 'k']",-0.53
563,"['æ', 'g']",-0.41
564,"['æ', 'x']",-0.41
565,"['æ', 'ŋ']",-0.38
566,"['æ', 'h']",0.32
567,"['æ', 'kʷ']",-0.63
568,"['æ', 'gʷ']",-0.52
569,"['æ', 'xʷ']",-0.52
570,"['ɔ', 'y']",-0.23
571,"['ɔ', 'w']",0.32
572,"['ɔ', 'ɛ']",0.06
573,"['ɔ', 'r']",-0.11
574,"['ɔ', 'l']",-0.3
575,"['ɔ', 'p']",-0.44
576,"['ɔ', 'b']",-0.38
577,"['ɔ', 'f']",-0.34
578,"['ɔ', 'v']",-0.31
579,"['ɔ', 'm']",-0.34
580,"['ɔ', 't']",-0.6
581,"['ɔ', 'd']",-0.55
582,"['ɔ', 'θ']",-0.55
583,"['ɔ', 'ð']",-0.51
584,"['ɔ', 'n']",-0.51
585,"['ɔ', 's']",-0.51
586,"['ɔ', 'z']",-0.5
587,"['ɔ', 'c']",-0.55
588,"['ɔ', 'č']",-0.55
589,"['ɔ', 'ǰ']",-0.51
590,"['ɔ', 'š']",-0.51
591,"['ɔ', 'ž']",-0.5
592,"['ɔ', 'k']",-0.27
593,"['ɔ', 'g']",-0.24
594,"['ɔ', 'x']",-0.24
595,"['ɔ', 'ŋ']",-0.11
