,phonemes,overlap / correlation
304,"['œ̄', 'ɛ']",0.64
305,"['œ̄', 'r']",0.29
306,"['œ̄', 'l']",0.21
307,"['œ̄', 'p']",0.21
308,"['œ̄', 'b']",0.21
309,"['œ̄', 'f']",0.21
310,"['œ̄', 'v']",0.21
311,"['œ̄', 'm']",0.21
312,"['œ̄', 't']",0.14
313,"['œ̄', 'd']",0.14
314,"['œ̄', 'θ']",0.14
315,"['œ̄', 'ð']",0.14
316,"['œ̄', 'n']",0.14
317,"['œ̄', 's']",0.14
318,"['œ̄', 'z']",0.14
319,"['œ̄', 'c']",0.14
320,"['œ̄', 'č']",0.14
321,"['œ̄', 'ǰ']",0.14
322,"['œ̄', 'š']",0.14
323,"['œ̄', 'ž']",0.14
324,"['œ̄', 'k']",0.14
325,"['œ̄', 'g']",0.14
326,"['œ̄', 'x']",0.14
327,"['œ̄', 'ŋ']",0.14
328,"['œ̄', 'h']",0.43
329,"['œ̄', 'kʷ']",0.21
330,"['œ̄', 'gʷ']",0.21
331,"['œ̄', 'xʷ']",0.21
332,"['ɔ̄', 'i']",0.57
333,"['ɔ̄', 'u']",0.71
334,"['ɔ̄', 'e']",0.64
335,"['ɔ̄', 'ʌ']",0.71
336,"['ɔ̄', 'o']",0.79
337,"['ɔ̄', 'æ']",0.71
338,"['ɔ̄', 'ɔ']",0.86
339,"['ɔ̄', 'y']",0.5
340,"['ɔ̄', 'w']",0.64
341,"['ɔ̄', 'ɛ']",0.57
342,"['ɔ̄', 'r']",0.21
343,"['ɔ̄', 'l']",0.14
344,"['ɔ̄', 'p']",0.14
345,"['ɔ̄', 'b']",0.14
346,"['ɔ̄', 'f']",0.14
347,"['ɔ̄', 'v']",0.14
348,"['ɔ̄', 'm']",0.14
349,"['ɔ̄', 't']",0.07
350,"['ɔ̄', 'd']",0.07
351,"['ɔ̄', 'θ']",0.07
352,"['ɔ̄', 'ð']",0.07
353,"['ɔ̄', 'n']",0.07
354,"['ɔ̄', 's']",0.07
355,"['ɔ̄', 'z']",0.07
356,"['ɔ̄', 'c']",0.07
357,"['ɔ̄', 'č']",0.07
358,"['ɔ̄', 'ǰ']",0.07
359,"['ɔ̄', 'š']",0.07
360,"['ɔ̄', 'ž']",0.07
361,"['ɔ̄', 'k']",0.21
362,"['ɔ̄', 'g']",0.21
363,"['ɔ̄', 'x']",0.21
364,"['ɔ̄', 'ŋ']",0.21
365,"['ɔ̄', 'h']",0.36
366,"['ɔ̄', 'kʷ']",0.29
367,"['ɔ̄', 'gʷ']",0.29
368,"['ɔ̄', 'xʷ']",0.29
369,"['i', 'u']",0.79
370,"['i', 'e']",0.86
371,"['i', 'ʌ']",0.79
372,"['i', 'o']",0.71
373,"['i', 'æ']",0.79
374,"['i', 'ɔ']",0.64
375,"['i', 'y']",0.86
376,"['i', 'w']",0.71
377,"['i', 'ɛ']",0.79
378,"['i', 'r']",0.29
379,"['i', 'l']",0.21
380,"['i', 'p']",0.21
381,"['i', 'b']",0.21
382,"['i', 'f']",0.21
383,"['i', 'v']",0.21
384,"['i', 'm']",0.21
385,"['i', 't']",0.14
386,"['i', 'd']",0.14
387,"['i', 'θ']",0.14
388,"['i', 'ð']",0.14
389,"['i', 'n']",0.14
390,"['i', 's']",0.14
391,"['i', 'z']",0.14
392,"['i', 'c']",0.14
393,"['i', 'č']",0.29
394,"['i', 'ǰ']",0.29
395,"['i', 'š']",0.29
396,"['i', 'ž']",0.29
397,"['i', 'k']",0.36
398,"['i', 'g']",0.36
399,"['i', 'x']",0.36
400,"['i', 'ŋ']",0.29
401,"['i', 'h']",0.29
402,"['i', 'kʷ']",0.29
403,"['i', 'gʷ']",0.29
404,"['i', 'xʷ']",0.29
405,"['u', 'e']",0.71
406,"['u', 'ʌ']",0.79
407,"['u', 'o']",0.86
408,"['u', 'æ']",0.64
409,"['u', 'ɔ']",0.79
410,"['u', 'y']",0.71
411,"['u', 'w']",0.86
412,"['u', 'ɛ']",0.64
413,"['u', 'r']",0.21
414,"['u', 'l']",0.14
415,"['u', 'p']",0.14
416,"['u', 'b']",0.14
417,"['u', 'f']",0.14
418,"['u', 'v']",0.14
419,"['u', 'm']",0.14
420,"['u', 't']",0.07
421,"['u', 'd']",0.07
422,"['u', 'θ']",0.07
423,"['u', 'ð']",0.07
424,"['u', 'n']",0.07
425,"['u', 's']",0.07
426,"['u', 'z']",0.07
427,"['u', 'c']",0.07
428,"['u', 'č']",0.21
429,"['u', 'ǰ']",0.21
430,"['u', 'š']",0.21
431,"['u', 'ž']",0.21
432,"['u', 'k']",0.36
433,"['u', 'g']",0.36
434,"['u', 'x']",0.36
435,"['u', 'ŋ']",0.36
436,"['u', 'h']",0.21
437,"['u', 'kʷ']",0.43
438,"['u', 'gʷ']",0.43
439,"['u', 'xʷ']",0.43
440,"['e', 'ʌ']",0.86
441,"['e', 'o']",0.79
442,"['e', 'æ']",0.86
443,"['e', 'ɔ']",0.71
444,"['e', 'y']",0.79
445,"['e', 'w']",0.64
446,"['e', 'ɛ']",0.86
447,"['e', 'r']",0.36
448,"['e', 'l']",0.29
449,"['e', 'p']",0.29
450,"['e', 'b']",0.29
451,"['e', 'f']",0.29
452,"['e', 'v']",0.29
453,"['e', 'm']",0.29
454,"['e', 't']",0.21
