,phonemes,ɪ̄,ū,ē,ō,ǣ,ā,œ̄,ɔ̄,i,u,e,ʌ,o,æ,ɔ,y,w,ɛ,r,l,p,b,f,v,m,t,d,θ,ð,n,s,z,c,č,ǰ,š,ž,k,g,x,ŋ,h,kʷ,gʷ,xʷ
32,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.64,0.71,0.71,0.79,0.36,0.43,0.43,0.43,0.5,0.36,0.43,0.43
33,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.71,0.71,0.64,0.5,0.43,0.43,0.43,0.5,0.5,0.43,0.43
34,č,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.86,0.79,0.64,0.57,0.57,0.57,0.5,0.64,0.57,0.57
35,ǰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.86,0.57,0.64,0.5,0.64,0.43,0.57,0.64,0.5
36,š,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.57,0.5,0.64,0.5,0.57,0.57,0.5,0.64
37,ž,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.57,0.57,0.57,0.5,0.5,0.57,0.57
38,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.86,0.71,0.5,0.86,0.79,0.79
39,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.79,0.43,0.79,0.86,0.71
40,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.57,0.79,0.71,0.86
41,ŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.71,0.79,0.64
42,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.43,0.57
43,kʷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.86
44,gʷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79
